"8 SIDOR","15759997"
"AXESS","4k3grxhz2rwgwq18"
"BAROMETERN","15760690"
"BENGTSFORSTIDNINGEN DALSLÄNNINGEN","15760697"
"BERGSLAGEN (FILIPSTAD : 1901)","8mgmdzc064zp21bv"
"BERGSLAGERNAS NYHETER (FILIPSTAD : 1905)","8m9rj7266sl3bp0q"
"BERGSLAGERNAS NYHETER (ÖREBRO : 1898), TIDNING FÖR NORA, KARLSKOGA, GRYTHYTTEHED, JÄRNBOÅS, HJULSJÖ, HELLEFORS OCH BJURKÄRN","6j0qcklh4xk009rx"
"BERGSLAGERNAS TIDNING","w77n93trt1gdq5pq"
"BERGSLAGSNISSE, BERGSLAGARNAS TIDNING : LÖRDAGSBILAGA","8l886nwf6q10tbrf"
"BERGSLAGSPOSTEN (LINDESBERG : 1882-)","6j664nrf4f23ddsz"
"BERGSLAGSPOSTEN (LINDESBERG : 1892-)","9khgh4vq7pxzc1r7"
"BERNINS TIDNING FÖR AFFÄR OCH SVENSK POLITIK","q1j0dbmznqs5jl61"
"BIKUPAN","s3l2ghwqqp57rb7q"
"BILAGA TILL ELFSBORGS LÄNS ANNONSBLAD","dqddb1z1bb5x19dv"
"BIRGER JARL, VÄGVISARE I STOCKHOLM","p2q6zrnnmrk2h5rs"
"BJÄRE NU","20902611"
"BLEKINGE FOLKBLAD (KARLSKRONA : 1903)","0dgrsrckxtd0trpt"
"BLEKINGE LÄNS TIDNING","15760702"
"BLEKINGE LÄNS TIDNING HVARANNANDAGSUPPLAGAN","bqs346gf8kk36z4b"
"BLEKINGEKURIREN (KARLSKRONA : 1892)","q3x3x2h5nxqjtsj1"
"BLEKINGEN (KARLSKRONA : 1885), BLEKINGE LÄNS TIDNINGS VECKOUPPLAGA","6j664w2s48bzdxqp"
"BLEKINGEPOSTEN (BRÄKNE-HOBY : 1945)","15760839"
"BLEKINGSPOSTEN (KARLSKRONA : 1885)","11653784"
"BLIXTEN, TIDNING TILL NYTTA OCH NÖJE","7k7751gv5vxq0fzj"
"BLÄNKAREN, RADIKALT ONSDAGSBLAD","7j60t6ft5l2mzb9x"
"BODEN","9kxh5v8v7429g2cp"
"BOHUS-KORRESPONDENTEN, NYHETS- OCH ANNONSBLAD FÖR MARSTRAND, KONGELF SAMT KRINGLIGGANDE LANDSORTER","t5ttrqm2rw3k12t6"
"BOHUSLÄNINGEN","15760845"
"BOHUSLÄNS ALLEHANDA, TIDNING FÖR BOHUSLÄN OCH DALSLAND","dp5qw221bc863l77"
"BOHUSLÄNS ANNONSBLAD (1891)","5gtrvlhr3pjnzsqc"
"BOHUSLÄNS NYHETS- OCH ANNONSBLAD","2b6c0t0r0p005mb7"
"BOHUSLÄNS TIDNING (1838)","08n6x0dkx6vf7v8r"
"BOHUSLÄNS TIDNING (1904)","m13dg748kvsw47hk"
"BOLLNÄS TIDNING (1876)","11653787"
"BOLLNÄS TIDNING (1898), ORGAN FÖR SÖDRA OCH VÄSTRA HELSINGLAND","cp6b5zjf9l59cpwn"
"BOLLNÄSNYTT","15760862"
"BOLLNÄSTIDNINGEN","dq7c760dbnwmt3sk"
"BONNIERS LITTERÄRA MAGASIN (ONLINE), BLM","3dsjhh091r9ffp9r"
"BORE","q1phbrctn6h8zp4m"
"BORLÄNGE TIDNING","15761096"
"BORLÄNGEPOSTEN","4g4434lb2ndn2tck"
"BORÅS TIDNING","15761097"
"BORÅS WECKOBLAD","22543464"
"BORÅSBLADET (GÖTEBORG : 1901)","w7wwvzp1t04fr566"
"BORÅSKURIREN","15761270"
"BORÅSPOSTEN","cpccbjfk9971lf6r"
"BORÅSPOSTEN HALFVECKOUPPLAGAN (1902)","s4ssr0bqqpx07gk1"
"BORÅSPOSTEN HALFVECKOUPPLAGAN (1903)","8nq1304j629108rl"
"BORÅSPOSTEN VECKOUPPLAGAN (1894)","w9cnqqknts75z6v0"
"BOTKYRKA DIREKT","21550853"
"BRAND","8k71vd3v6wxjfbx8"
"BRAVO, VECKOJOURNAL FÖR SVENSKA FOLKET","mzf5sw0bkn2lsqg1"
"BREDABLICK","s4ssr4tpqw8jprj4"
"BREFDUFVAN","8jwg4jnm6nb11m7m"
"BREFLÅDAN, TIDNING FÖR KRITIK OCH POLEMIK","grf72pqtd5hc8p7b"
"BROMMA TIDNING (2015)","17644143"
"BROMMADIREKT","8klfwg9j6csr5ml1"
"BRUNNS- OCH BADTIDNING","9kj9vg6x7qkxlxk9"
"BUDKAFLEN, TIDNING FÖR TIDSENLIGA REFORMER","1b0smb59z8tc6lxq"
"BÄRGSLAGSBLADET (KÖPING : 1892)","v4218xf7spq63f5k"
"BÄRGSLAGSBLADET (SALA : 1890)","15761323"
"BÄRGSLAGSKURIREN, TIDNING FÖR NORA DOMSAGA","v7wc40h9s7czwt5w"
"BÅLSTA/UPPLANDS-BRODIREKT","09nljbd1x8gx9rp9"
"BÅLSTABLADET","19341247"
"BÅLSTADIREKT","q12wczksnscqh33r"
"BÅSTADS TIDNING (LAHOLM : 1883)","z8xqm1qswc0qppmn"
"BÅSTADS TIDNING (ÄNGELHOLM : 1895)","1b0sp620zzwcds5m"
"BÅSTADSPOSTEN","w6vnk3lxtgrq0fwg"
"BÖRSTIDNINGEN","r2qjc5pqpbjmpfxz"
"BÖRSTIDNINGENS OFFERTBLAD","dqddcr98bdcgvvws"
"CHRISTIANSTADS WECKOBLAD","8h5snrr66g6q0z1j"
"CALMAR LÄNS OCH ÖLANDS ANNONSBLAD","22665227"
"CALMAR LÄNS OCH ÖLANDS TIDNING","22665228"
"CALMAR STADS TIDNING","22666417"
"CALMAR TIDNING","22666418"
"CALMARBLADET","22666421"
"CALMARPOSTEN (KALMAR : 1795)","22666425"
"CALMARPOSTEN (KALMAR : 1842)","kvddml5fh28xn436"
"CARLSCRONAS TIDNINGAR","19349355"
"CARLSCRONAS WEKOBLAD (1753)","19349349"
"CARLSCRONAS WEKOBLAD (1764)","19223423"
"CARLSHAMN","bnbbbqjl8xkpb43b"
"CARLSHAMNS POSTEN","22691436"
"CARLSHAMNS TIDNING","22691434"
"CARLSKRONA KYRKOTIDNING","22691744"
"CARLSKRONA TIDNING","22691437"
"CARLSKRONA TIDNINGAR","22691442"
"CARLSTADS ALLEHANDA","r3rrr7x9px9b2f04"
"CARLSTADS TIDNING","dm9xg65lbq3z8xwh"
"CARLSTADS TIDNINGAR","4c1nf1nh2fgfld9r"
"CARLSTADS WECKOTIDNINGAR","7g4rldsh5cqm3jqx"
"CHRISTIANSTADS ANNONSBLAD, ANNONSTIDNING FÖR SÖDRA SVERIGE","p1ppp760mhffc64z"
"CHRISTINEHAMNS ALLEHANDA","hrtpwhl9fdhf969p"
"CHRISTINEHAMNSBLADET","22688444"
"CIMBRISHAMNS ALLEHANDA","frfff1wpcnltjntz"
"CIMBRISHAMNSBLADET","8lfcmwm76msp0457"
"CITY LUND","15761347"
"CITY MALMÖ","15761349"
"CORRESPONDENCE DE STOCKHOLM","p24f6zmnms4w7k2r"
"CORRESPONDENTEN","3d4r11sd1458s94t"
"CORSAREN","3f332jr21ct3j07s"
"DA JI YUAN SHI BAO","19348950"
"DAGBLADET (STOCKHOLM : 1888)","mxkqfwjmkw3z4knx"
"DAGBLADET (SUNDSVALL : 1955), NYA SAMHÄLLET","15761352"
"DAGBLADET: WÄLSIGNADE TRYCK-FRIHETEN","10549139"
"DAGEN ( STOCKHOLM : 1888)","v5szn6kmsz3mzxz9"
"DAGEN (2004)","15761357"
"DAGEN (STOCKHOLM : 1845)","hsfl91vkfplsfr6s"
"DAGEN (STOCKHOLM : 1896)","lwjpd1k5jwmvstk6"
"DAGENS ETC","16957833"
"DAGENS FRÅGOR","9l7d3wqj7zts0lth"
"DAGENS INDUSTRI","13991095"
"DAGENS NYHETER","13991099"
"DAGLIGT ALLEHANDA","13506739"
"DAGSTELEGRAFEN","x7v1qprsvdqcnwgq"
"DALABLADET (1906)","6h8x48n84lhpg4td"
"DALABYGDEN, TIDNING FÖR KOPPARBERGS LÄN","15761375"
"DALADEMOKRATEN","15761390"
"DALAPOSTEN, NYHETS- OCH ANNONSBLAD FÖR DALARNE","s3qwm1pzq6v3h4vs"
"DALARNAS NYHETER","s3qwmdbrqcb1zz7x"
"DALARNE (FALUN : 1876)","w6t0q6qztrhvqpw1"
"DALARNE (FALUN : 1884), ILLUSTRERAD VECKOTIDNING FÖR DALARNES ALLA SAMHÄLLSKLASSER","hsflbv8mfq0hw3h1"
"DALARNES ALLEHANDA, NYHETS- OCH ANNONSTIDNING FÖR FALU STAD OCH LÄN","6h491mw64jbd5rn4"
"DALARNES TIDNING, NYHETS- OCH ANNONSTIDNING FÖR FALU STAD OCH LÄN","8k6c3rq96v5wzn9d"
"DALMASEN, ORGAN FÖR ÄKTA DALKARLAR","kvhncf95hvfqvrlr"
"DALPILEN (1854)","11653790"
"DALSLAND","grdk9m4cd0wqp71n"
"DALSLANDS NYA TIDNING","cm67pgk49tz56k54"
"DANDERYDDIREKT","r23xd23ppdv937dt"
"DANDERYDS NYHETER","17644154"
"DEBET, TIDNING FÖR OFFICIELLA UPPGIFTER RÖRANDE SKULDFORDRINGSMÅL I STOCKHOLM OCH GÖTEBORG","jxqjmrqjgk1rxkg8"
"DEMENTIN","q92hlgnknnmbdx8f"
"DEN ANSPRÅKSLÖSE SAMLAREN","kvv85mtphpj8406x"
"DEN CONSERVATIVE, TIDNING FÖR LUGNETS, ORDNINGENS OCH DET BESTÅENDES VÄNNER","6gf775hn4jd5h4s3"
"DEN FLYGANDE POSTEN","z738x2lgwz68krwc"
"DEN KONSTITUTIONELLE","3cg4htb01r61b20w"
"DEN NYA TIDEN, DEMOKRATISKT ORGAN","lwjpfj81jf0pt04v"
"DEN SVENSKE ARBETAREN (GÖTEBORG : 1903)","jtbqhwmng5317nsd"
"DEN SVENSKE ARBETAREN (STOCKHOLM : 1888)","r2qjd78qpdwh45jt"
"DEN SVENSKE ARBETAREN (STOCKHOLM : 1894)","x7wpkg32v5f09c92"
"DEN SVENSKE NATIONALSOCIALISTEN, HUVUDORGAN FÖR NATIONALSOCIALISTISKA ARBETAREPARTIET","l6k3r195jrvg135v"
"DILETTANTEN, WECKOBLAD FÖR SUNDSWALLS STAD","r11f2jptphv31hb2"
"DIN LOKALTIDNING","15761402"
"DJURSHOLMS TIDNING","q1ntkttvnvhh8qt0"
"DUSCH","2c05xl750p32h4nb"
"ETC GÖTEBORG","20822347"
"ETC, NYHETSMAGASIN","fzkgv0m8cfnsz0zm"
"ECONOMISK TIDNING, FÖR WESTERGÖTLAND","pzbhlhd4mwtwnftt"
"EESTI PÄEVALEHT","15761478"
"EFTERÅT, TIDSKRIFT FÖR SPIRITISM OCH DERMED BESLÄGTADE ÄMNEN","8p8sv7sj63bbdm7f"
"EIRA, TIDSKRIFT FÖR HÄLSO- OCH SJUKVÅRD","csmc30x694kw8m8w"
"EKO (STOCKHOLM : 1875), ILLUSTRERAT MÅNADSBLAD","0b00zhg7xrt8q3v4"
"EKO (STOCKHOLM : 1887), POPULÄR MÅNADSSKRIFT","w7wwvg3kt7nc59pj"
"EKO (STOCKHOLM : 1893)","7k776tx257vs7hbv"
"EKONOMISKA UNDERRÄTTELSER","w56crtq9tt6662qd"
"EKSJÖPOSTEN","2d222qgf087dnqmg"
"EKSJÖTIDNINGEN","gtntl2h0dnjdqj1k"
"ELFSBORGAREN","n0tfjb0qlqbkqfps"
"ELFSBORGS LÄNS ANNONSBLAD","8n5cq07b68ltgfrg"
"ELFSBORGS LÄNS TIDNING","9p6ds75m7sbcpn3v"
"ENA HÅBOTIDNINGEN","15761482"
"ENA HÅBOTIDNINGEN","5nlg8ctk3qh5cs3k"
"ENGELHOLMS TIDNING (1857)","22017487"
"ENGELHOLMS TIDNING (1867)","bm930l3c8qpg0r59"
"ENGELHOLMS WECKOBLAD","9l08t3mb7fvgk0d9"
"ENGELHOLMSPOSTEN (ÄNGELHOLM : 1877)","fq4d0dj4cjhl73w7"
"ENGELHOLMSPOSTEN (ÄNGELHOLM : 1897)","x7mwgsclvc3j7dzz"
"ENKÖPINGDIREKT","t450g6grrn72b8v0"
"ENKÖPINGS TIDNING (1880)","z9zzxrhfw4443wzb"
"ENKÖPINGS TIDNING (1885)","k0p4zpn5hzsx47pt"
"ENKÖPINGS WECKOBLAD (1856)","bmm5rpx68vngvjx2"
"ENKÖPINGS WECKOBLAD (1863)","mzsdgg27kdvldmcd"
"ENKÖPINGSBLADET","fsgxpngscc55nrcd"
"ENKÖPINGSPOSTEN","15761484"
"EPOCH TIMES, RENA NYHETER","bqcghlzv8wql8fss"
"ESKILSTUNA ALLEHANDA (1844)","3fccrqd61v7hwcl0"
"ESKILSTUNA ALLEHANDA (1873)","r311fgtqpx2kqlp7"
"ESKILSTUNA TIDNING (1837)","22543543"
"ESKILSTUNA TIDNING (1867)","r16db0sbplpfkcgg"
"ESKILSTUNA WECKOBLAD","22544462"
"ESKILSTUNAKORRESPONDENTEN","hthhh7n3fd5xpmpd"
"ESKILSTUNAKURIREN","15761488"
"ESKILSTUNAPOSTEN, TIDNING FÖR NORRA SÖDERMANLAND","t5xq80m2rv2g2rb1"
"ESKILSTUNATIDNINGEN","5hbx02z93958jl99"
"ESLÖFS TIDNING","gq3nb38hdcxbh58c"
"EXEKUTIVA UPPGIFTER","hsfzc8nzfpkcrb26"
"EXPRESS","lxrcg6qjj12psd2x"
"EXPRESSEN","13991089"
"EXTRA BODEN","15761505"
"EXTRA LULEÅ","15869388"
"EXTRA POSTEN","fr68l00jcg04rf3f"
"EXTRA ÖSTERGÖTLAND","15869406"
"EXTRABLADET (TRELLEBORG : 1911)","8tnllzgc60dw9tpr"
"FAGERSTAPOSTEN","15869456"
"FAHLU TIDNING (1822)","t71txp3lr6fvkjbx"
"FAHLU TIDNING (1838)","8lf7xd5p6w2nmshm"
"FAHLU WECKOBLAD","11653792"
"FALKENBERGS NYA TIDNING, NYHETS- OCH ANNONSBLAD FÖR MELLERSTA HALLAND","v6vvvn2qst9p4rc2"
"FALKENBERGS TIDNING","l1v9gm8jjx3ntn8g"
"FALKENBERGSBLADET","6gmvgws941nm68bq"
"FALKENBERGSPOSTEN (1905)","q50flxpznt1v5mmk"
"FALKENBERGSPOSTEN (2011)","15869483"
"FALKÖPINGS TIDNING","15869824"
"FALKÖPINGSPOSTEN","8pjz4ksx617r957r"
"FALU LÄNSTIDNING","20784999"
"FALUKURIREN","15870434"
"FALUPOSTEN (1869)","11653794"
"FAMILJENYHETERNA","q2qqpl2qn7s8xstz"
"FIGARO (1878), KONST, KULTUR, KRITIK","bm8s65t087wpb5ls"
"FILIPSTADS STADS OCH BERGSLAGS TIDNING","2ds6hrcg04r3qmv1"
"FILIPSTADS TIDNING","15871796"
"FINANSTIDNINGEN (1892), SJELFSTÄNDIGT ORGAN I FINANS-, INDUSTRI- OCH FÖRSÄKRINGSFRÅGOR","p1vgk75nmxdpnd3d"
"FINNVEDEN NU","15871833"
"FJÄLLÖRNEN","gq4mc2x8dqvjsrvp"
"FLAMMAN","fzf53nqxcnk53n1f"
"FLYGANDE BLADET, NÖJE OCH TIDSFÖRDRIF, RÅD OCH UPPLYSNINGAR","4dz0gbgm20dxrkkm"
"FLYGBLAD FÖR ALLMÄN RÖSTRÄTT","2d6s0q1n05hxxptp"
"FLYGBLADET VÄSTRA UPPLAND","16958107"
"FLYGPOSTEN","lxlllgp9jd52rqbj"
"FOLKBLADET (GÖTEBORG : 1879)","1c112zpfz80n2wwz"
"FOLKBLADET (NORRKÖPING : 1981)","15871865"
"FOLKBLADET (SKARA : 1880), WECKOTIDNING FÖR ALLA SAMHÄLLSKLASSER","s29zj2lrqkz99962"
"FOLKBLADET (STOCKHOLM : 1849)","bm5cmj1s80xb7xcf"
"FOLKBLADET (STOCKHOLM : 1894)","4j3mknv028z65bls"
"FOLKBLADET (UMEÅ : 2012)","15871893"
"FOLKBLADET FRAMTIDEN, ORGAN FÖR FOLKUPPFOSTRAN OCH SOCIALPOLITIK","p1pppm1zms2q0wrk"
"FOLKET (1906)","n2m53fp0l19c2s60"
"FOLKET (1989)","15873049"
"FOLKET I BILD/KULTURFRONT","mx5bbtqbk7584lcx"
"FOLKETS RÖST (GÖTEBORG :1887), RADIKAL FOLKTIDNING FÖR VESTRA SVERIGE","mzmmnm4vk6zf4hzx"
"FOLKETS RÖST (STOCKHOLM : 1849)","11653796"
"FOLKETS TIDNING","1d3tk306zgb6hgrt"
"FOLKETS VÄN, NYHETS- OCH ANNONSTIDNING","dqdc9n7kb9tk004v"
"FOLKTIDNINGEN (GÖTEBORG : 1895)","bnhd068q8gm95ss9"
"FOLKTIDNINGEN (SÖDERKÖPING : 1888)","0dj28l98x51tg4zg"
"FOLKVILJAN (1882)","4g9w090g2g5h5s08"
"FOLKVILJAN (1891)","p1pppp4dm7tj1fn8"
"FORTUNA","hrqjp7xdfbqkfn13"
"FORTUNA-POSTEN, TIDNING FÖR IN- OCH UTLÄNDSKA STATS- OCH STADSOBLIGATIONER SAMT LOTTERIER","pzxqwjpnmghprdm4"
"FOSTERLANDET (1873)","r3xthrplp0cgvpw2"
"FOSTERLANDET (1886)","v65zrj99sblmx4n5"
"FOSTERLANDSVÄNNEN","gts4rxc8dpqp9q78"
"FOSTERLÄNDSK TIDNING","mw8thf1fkcg0qsj5"
"FOSTERLÄNDSKA VECKOBLADET","v6vvvx27s38jc2vb"
"FRAM, ÖSTERGÖTLANDS DAGBLADS VECKOUPPLAGA","1bn73m7qzdxzpx1b"
"FRAMTIDEN","7k764k1s5zxdsrm1"
"FRAMÅT (MALMÖ : 1871)","fqjvnv85cs31gx37"
"FRAMÅT (STOCKHOLM : 1865), TIDNING FÖR MENIGE MAN","9mg25rvm7wxtx0l8"
"FREDSVÄNNEN, MÅNADSBLAD FÖR FREDS- OCH SKILJEDOMSFÖRENINGEN I SVERIGE","5fnbwbt93jkpfg14"
"FREJA","22688237"
"FREJA, ILLUSTRERAD SKANDINAVISK MODETIDNING","7nb3k2pq55q4mrlh"
"FRIA ORDET","2d22269t0f6p5rbw"
"FRIA TIDNINGEN","15873151"
"FRIDSBUDET, TIDNING FÖR DET KRISTLIGA HEMMET","kwkkkqd4hrg4lg46"
"FRIHETSVÄNNEN","x83psbl5v3qw5v32"
"FRISK LUFT","8kcphs3j65wq8s2g"
"FRISKYTTEN (ESKILSTUNA : 1883), TIDNING FÖR SKÄMT OCH ALLVAR","6gmt0kmp4ml7qc3b"
"FRISKYTTEN (STOCKHOLM : 1847)","cmwdtf9h9l1mqjd5"
"FRYKEN, TIDNING FÖR FRYKSDALEN","p1vgkdkvm59mwkk4"
"FRYKSDALEN : NYHETS- OCH ANNONSBLAD FÖR FRYKSDALEN MED OMNEJD","p2bl173jmqx7dfsp"
"FRYKSDALINGEN, TIDNING FÖR SUNNE OCH OMKRINGLIGGANDE BYGDER","7k7789tc5njgwvk1"
"FRYKSDALSBYGDEN (KARLSTAD : 1941)","15873169"
"FRÅN BIRGER JARLS STAD","m08jzxk9kd8gn741"
"FRÅN MÄLARSTRAND, EN MIDSOMMARTIDNING","0b0007dpxwv6mc3m"
"FYRBÅKEN","s4zknszmq29m83ns"
"FYREN, VECKOTIDNING FÖR ALLVAR OCH SKÄMT","9m999ljb76rgbg2v"
"FYRIS","5fd674q93fmsdj5q"
"FÄDERNESLANDET (1928)","sc645t38q5jr9fnp"
"FÄDERNESLANDET (1933)","3nhfgrrw1tbdfw6v"
"FÄDERNESLANDET (STOCKHOLM : 1830)","bnll0nsn8xm559n9"
"FÄDERNESLANDET (STOCKHOLM : 1849)","p1vgk1djm8qjjbq2"
"FÄDERNESLANDET (STOCKHOLM : 1852)","v5tmgdl9s8gj4lqb"
"FÖR ALLA","3cf9h6bl19w7g6fd"
"FÖRPOSTEN","0f4kdb8tx40h3pb8"
"FÖRSAMLINGSVÄNNEN","s5fp4swsqj46zrwp"
"FÖRSTADSBLADET","1dnxcgsjzvcfjlg4"
"GT (1967)","js70j1kpgssdn45z"
"GT (1995)","15873313"
"GT SÖNDAGSTIDNINGEN","20791221"
"GAMLA BREFLÅDAN, TIDNING FÖR KRITIK OCH POLEMIK","w60b4hsxtcf7jnjq"
"GANYMEDES, TIDNING FÖR SKANDINAVIENS HOTELLVÄSEN OCH KOKKONST","1c4xg8t6z9767936"
"GEFLE ARBETAREBLAD","9md6qqhs7cqm2m3t"
"GEFLE BÖRS","9md6qmcn7h1ngmvb"
"GEFLE DAGBLAD","15873179"
"GEFLE WECKOBLAD","22572779"
"GEFLEBLADET","4hbh93cv231rs4bw"
"GEFLEBORGS LÄNS TIDNING (1836)","22551975"
